"name","artists","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"Houdini","Dua Lipa","185917","Houdini","2023-11-09","0.744","0.789","9","-4.876","0","0.059","0.0036","0.00144","0.0947","0.866","116.985"
"Water","Tyla","200255","Water","2023-07-28","0.673","0.722","3","-3.495","0","0.0755","0.0856","0.0","0.137","0.519","117.187"
"Starboy","The Weeknd, Daft Punk","230453","Starboy","2016-11-25","0.679","0.587","7","-7.015","1","0.276","0.141","6.35e-06","0.137","0.486","186.003"
"Never Lose Me","Flo Milli","125901","Never Lose Me","2023-11-30","0.781","0.567","1","-7.857","1","0.0969","0.0504","0.0","0.0981","0.0743","121.964"
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","222369","What Was I Made For? [From The Motion Picture ""Barbie""]","2023-07-13","0.444","0.0911","0","-17.665","1","0.0307","0.959","1.05e-06","0.098","0.142","78.403"
"vampire","Olivia Rodrigo","219724","GUTS","2023-09-08","0.511","0.532","5","-5.745","1","0.0578","0.177","0.0","0.291","0.35","138.005"
"Feather","Sabrina Carpenter","185552","emails i can’t send fwd:","2023-03-17","0.787","0.686","6","-4.37","0","0.0339","0.0893","0.0","0.0927","0.836","123.51"
"The Night We Met","Lord Huron","208211","Strange Trails","2015-04-07","0.545","0.366","2","-9.51","1","0.0378","0.969","0.267","0.641","0.1","86.997"
"As It Was","Harry Styles","167303","Harry's House","2022-05-20","0.52","0.731","6","-5.338","0","0.0557","0.342","0.00101","0.311","0.662","173.93"
"Surround Sound (feat. 21 Savage & Baby Tate)","JID, 21 Savage, Baby Tate","229938","The Forever Story (Extended Version)","2022-10-31","0.575","0.56","5","-7.302","1","0.478","0.173","0.0","0.257","0.471","75.956"
"Que Onda","Calle 24, Chino Pacas, Fuerza Regida","191466","Que Onda","2023-08-30","0.808","0.944","10","-4.863","0","0.0408","0.183","1.11e-06","0.138","0.937","124.934"
"Standing Next to You","Jung Kook","206019","GOLDEN","2023-11-03","0.711","0.809","2","-4.389","0","0.0955","0.0447","0.0","0.339","0.816","106.017"
"Riptide","Vance Joy","204280","Dream Your Life Away (Special Edition)","2014-09-09","0.484","0.731","1","-6.694","1","0.0379","0.431","0.0","0.151","0.51","101.654"
"Si No Estás","iñigo quintero","184061","Si No Estás","2022-09-23","0.537","0.421","5","-8.72","1","0.0285","0.827","0.0","0.138","0.524","98.224"
"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","227195","Zach Bryan","2023-08-25","0.429","0.453","0","-7.746","1","0.0459","0.554","2e-06","0.102","0.155","77.639"
"Rich Baby Daddy (feat. Sexyy Red & SZA)","Drake, Sexyy Red, SZA","319191","For All The Dogs","2023-10-06","0.645","0.729","2","-4.56","1","0.0528","0.0377","0.0","0.384","0.142","146.01"
"Agora Hills","Doja Cat","265360","Scarlet","2023-09-20","0.755","0.687","8","-6.247","0","0.101","0.183","0.000177","0.125","0.381","123.01"
"HARLEY QUINN","Fuerza Regida, Marshmello","143327","Pa las Baby's Y Belikeada","2023-10-20","0.815","0.741","1","-6.04","1","0.0569","0.0277","0.0183","0.219","0.591","125.031"
"Yellow","Coldplay","266773","Parachutes","2000-07-10","0.429","0.661","11","-7.227","1","0.0281","0.00239","0.000121","0.234","0.285","173.372"
"Prada","cassö, RAYE, D-Block Europe","132359","Prada","2023-08-11","0.638","0.717","8","-5.804","1","0.0375","0.001","1.79e-06","0.113","0.422","141.904"
"Die For You","The Weeknd","260253","Starboy","2016-11-24","0.586","0.525","1","-7.163","0","0.0615","0.111","0.0","0.134","0.508","133.629"
"Unwritten","Natasha Bedingfield","259333","Unwritten","2004-08-30","0.706","0.8","5","-6.333","1","0.0399","0.00584","0.0","0.0822","0.629","100.011"
"Someone You Loved","Lewis Capaldi","182160","Divinely Uninspired To A Hellish Extent","2019-05-17","0.501","0.405","1","-5.679","1","0.0319","0.751","0.0","0.105","0.446","109.891"
"Dance The Night - From Barbie The Album","Dua Lipa","176579","Dance The Night (From Barbie The Album)","2023-05-25","0.671","0.845","11","-4.93","0","0.048","0.0207","0.0","0.329","0.775","110.056"
"née-nah","21 Savage, Travis Scott, Metro Boomin","220584","american dream","2024-01-12","0.678","0.758","1","-6.524","1","0.227","0.00495","0.0","0.57","0.318","165.423"
"Another Love","Tom Odell","244360","Long Way Down (Deluxe)","2013-06-24","0.445","0.537","4","-8.532","0","0.04","0.695","1.65e-05","0.0944","0.131","122.769"
"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)","Kabza De Small, Mthunzi, DJ Maphorisa, Young Stunna, Sizwe Alakine, Umthakathi Kush","351200","Isimo","2023-10-27","0.806","0.767","6","-9.686","0","0.112","0.179","0.00126","0.182","0.795","113.001"
"Funk 55","Shakes & Les, DBN Gogo, Zee Nxumalo, Ceeka RSA, Chley","373821","Funk 55","2023-12-01","0.895","0.438","2","-13.307","0","0.083","0.023","0.000359","0.0425","0.508","113.047"
"Masithokoze","DJ Stokie, Eemoh","427217","Masithokoze","2023-10-20","0.603","0.501","6","-14.253","0","0.0617","0.0224","0.155","0.0154","0.355","113.006"
"Keneilwe (feat. Dalom Kids)","Wanitwa Mos, Nkosazana Daughter, Master KG, Dalom Kids","328096","Makhelwane","2023-11-17","0.867","0.45","9","-8.306","1","0.0467","0.0102","0.00124","0.0228","0.589","113.015"
"Izenzo","Bassie, Aymos, T-Man SA","414966","Izenzo","2023-08-25","0.748","0.56","4","-13.918","0","0.0563","0.575","0.00117","0.141","0.492","112.0"
"iPlan","Dlala Thukzin, Zaba, Sykes","410847","Permanent Music 3","2023-09-15","0.697","0.643","5","-10.253","0","0.0384","0.0709","0.584","0.101","0.748","118.004"
"Paris","Mthandeni SK, Lwah Ndlunkulu","257959","Paris","2023-08-09","0.619","0.903","1","-4.659","1","0.0693","0.0296","0.00199","0.19","0.964","154.639"
"Amalobolo","Kelvin Momo, Babalwa M, Stixx, Nia Pearl","509789","Kurhula","2023-12-08","0.794","0.436","6","-18.272","0","0.0633","0.00775","0.699","0.654","0.353","112.997"
"Dubula (feat. DJ Latimmy) - Remake","Harrycane, Master KG, Eemoh, DJ Latimmy","306909","Dubula (feat. DJ Latimmy) [Remake]","2023-11-03","0.765","0.453","8","-9.63","1","0.059","0.00824","0.0651","0.0641","0.622","112.015"
"Isgubhu","Sam Deep, Njelic, Aymos","413838","iMALI YE NTWANA","2023-10-13","0.822","0.571","1","-11.215","0","0.0527","0.00391","0.0572","0.0518","0.547","112.998"
"Angel Numbers / Ten Toes","Chris Brown","306847","11:11","2023-11-10","0.406","0.5","4","-8.452","0","0.0501","0.192","0.0","0.175","0.0905","157.984"
"Hit after Hit","Ugatsheni","279823","Uyihlo nonyoko","2023-12-08","0.645","0.792","0","-7.466","1","0.0541","0.575","0.0","0.0899","0.679","158.53"
"Dalie (feat. Baby S.O.N)","Kamo Mphela, Tyler ICU, Khalil Harrison, Baby S.O.N","280424","Dalie (feat. Baby S.O.N)","2023-10-11","0.831","0.568","1","-9.984","1","0.0515","5e-05","0.0901","0.122","0.16","113.009"
"n.h.i.e.","21 Savage, Doja Cat","143718","american dream","2024-01-12","0.818","0.512","5","-9.056","0","0.0926","0.093","0.0441","0.11","0.155","131.967"
"Imnandi lento (feat. Tman Xpress)","Mellow & Sleazy, SjavasDaDeejay, TitoM, Tman Xpress","447834","Boroko Keng","2023-12-15","0.861","0.524","6","-13.325","0","0.0667","0.06","0.000776","0.0231","0.632","111.982"
"Awukhuzeki","DJ Stokie, Omit ST, Sobzeen, Zee_nhle","492617","My Journey Continues","2023-04-07","0.785","0.471","1","-12.497","1","0.0468","0.0133","0.688","0.119","0.497","112.991"
"Me & U","Tems","192935","Me & U","2023-10-05","0.775","0.662","10","-7.755","1","0.0408","0.117","0.0648","0.0928","0.257","112.014"
"Tiya Mfana (Mzokwana) [feat. Sims Noreng]","DJ Tshegu, Focalistic, Sims Noreng","265213","Tiya Mfana (Mzokwana) [feat. Sims Noreng]","2023-10-27","0.843","0.472","7","-12.282","1","0.0471","0.038","8.94e-05","0.0892","0.41","113.046"
"Eyami","Lwah Ndlunkulu","260488","Imizwa","2023-11-24","0.669","0.584","8","-7.419","1","0.108","0.447","0.0","0.0568","0.751","141.697"
"Amazwe (feat. Mawhoo)","Kabza De Small, Mthunzi, MaWhoo","463036","Isimo","2023-10-27","0.806","0.682","10","-9.961","0","0.0537","0.0159","0.00185","0.0548","0.582","112.992"
"Snooze","SZA","201800","SOS","2022-12-09","0.559","0.551","5","-7.231","1","0.132","0.141","0.0","0.11","0.392","143.008"
"Horns In The Sun - Thakzin Remix","DJ Kent, Thakzin, Mo-T, MÖRDA, Brenden Praise","336657","Weekent Sun Sets (Horns In The Sun Remix EP)","2023-08-29","0.733","0.958","5","-8.262","0","0.067","0.0633","0.693","0.304","0.21","118.024"
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Tyler ICU, Tumelo_za, DJ Maphorisa, Nandipha808, Ceeka RSA, Tyrondee","391888","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","2023-04-28","0.842","0.504","1","-7.557","1","0.0534","0.0246","0.0139","0.0698","0.495","112.995"
"Seduce Me (feat. Nkosazana Daughter & Happy JazzMan)","Daliwonga, Nkosazana Daughter, Happy Jazzman","411428","DALI DALI","2023-10-06","0.91","0.902","0","-6.693","0","0.0465","0.0471","0.000517","0.0881","0.903","111.998"
"Ngibambeni","YANII, Mxolisi Khumalo","228647","Ngibambeni","2023-11-24","0.76","0.733","5","-7.456","0","0.0523","0.239","8.58e-05","0.11","0.329","121.958"
"Maye Maye (feat. Azana, Stixx)","Kelvin Momo, Babalwa M, Azana, Stixx","450326","Maye Maye (feat. Azana, Stixx)","2023-12-01","0.875","0.374","11","-17.522","0","0.0516","0.0132","0.117","0.0394","0.661","113.002"
"First Person Shooter (feat. J. Cole)","Drake, J. Cole","247444","For All The Dogs","2023-10-06","0.47","0.64","2","-7.779","1","0.32","0.0277","0.0","0.382","0.248","163.92"
"Yes God (feat. Dearson) - Mörda, Thakzin, Mhaw Keys Remix","Oscar Mbo, KG Smallz, Mörda, Thakzin, & Mhaw Keys, Dearson","420229","Yes God (feat. Dearson) [Mörda, Thakzin, Mhaw Keys Remix]","2023-07-28","0.809","0.695","10","-11.967","0","0.0505","0.0384","0.205","0.0321","0.416","120.002"
"FTCU","Nicki Minaj","172137","Pink Friday 2","2023-12-08","0.928","0.458","11","-6.751","1","0.187","0.0175","0.000446","0.118","0.242","144.995"
"fukumean","Gunna","125040","a Gift & a Curse","2023-06-16","0.847","0.622","1","-6.747","0","0.0903","0.119","0.0","0.285","0.22","130.001"
"Sure Thing","Miguel","195373","All I Want Is You","2010-11-26","0.684","0.607","11","-8.127","0","0.1","0.0267","0.000307","0.191","0.498","81.001"
"Asambe","Ggoldie, Chley, Ceeka RSA, T.M.A_Rsa, RIVALZ","351529","Asambe","2023-12-01","0.916","0.543","10","-12.538","0","0.0926","0.0017","4.06e-05","0.167","0.731","112.005"
"Truth or Dare","Tyla","190392","TYLA","2023-12-01","0.61","0.599","1","-5.752","1","0.341","0.183","0.000124","0.0854","0.805","154.255"
"Skin and Bones","David Kushner","214632","Skin and Bones","2024-01-19","0.484","0.457","10","-10.205","1","0.0376","0.649","0.477","0.148","0.17","116.9"
"Ijuba","Mzukulu, Shenge wasehlalankosi","312685","Ijuba","2023-12-08","0.724","0.825","1","-7.641","0","0.0356","0.273","9.7e-05","0.217","0.63","106.517"
"prove it","21 Savage, Summer Walker","207585","american dream","2024-01-12","0.559","0.743","6","-5.418","0","0.167","0.38","0.0","0.23","0.263","133.897"
"Yini Ngathi (Insane)","Felo Le Tee, LeeMcKrazy, Keynote","347148","Yini Ngathi","2023-10-13","0.869","0.549","10","-11.258","0","0.065","0.0295","0.0252","0.0679","0.146","112.028"
"NGIJOLA NEBHINCA","Khuthuza, MAFIKIZOLO","268870","NGIJOLA NEBHINCA","2023-09-30","0.47","0.569","9","-10.072","0","0.0385","0.635","0.00624","0.0835","0.872","130.06"
"Từng Quen","Wren Evans, itsnk","174545","LOI CHOI: The Neo Pop Punk","2023-12-17","0.768","0.325","7","-11.863","1","0.15","0.133","7.69e-06","0.174","0.525","76.975"
"Những Lời Hứa Bỏ Quên","Vũ., Dear Jane","236262","Những Lời Hứa Bỏ Quên","2023-12-14","0.535","0.661","0","-7.797","1","0.0314","0.716","2.23e-05","0.125","0.337","135.054"
"Tò Te Tí","Wren Evans, itsnk","195000","LOI CHOI: The Neo Pop Punk","2023-12-17","0.725","0.7","5","-8.58","1","0.0938","0.00238","0.00409","0.0468","0.863","160.044"
"Trái đất ôm Mặt trời","Kai Đinh, GREY D, Hoàng Thùy Linh","194703","Trái đất ôm Mặt trời","2023-12-18","0.686","0.656","5","-6.375","0","0.0562","0.612","5.45e-06","0.394","0.65","138.059"
"Love Me Again","V","182293","Layover","2023-08-11","0.633","0.607","0","-6.182","0","0.0532","0.183","1.38e-06","0.167","0.363","74.029"
"Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)","VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","291750","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)","2023-12-25","0.548","0.611","5","-8.065","0","0.0837","0.266","0.0","0.174","0.401","79.837"
"Like Crazy","Jimin","212241","FACE","2023-03-24","0.629","0.733","7","-5.445","1","0.0419","0.0025","0.0","0.357","0.362","120.001"
"Chịu Cách Mình Nói Thua","RHYDER, CoolKid, BAN","181558","Chịu Cách Mình Nói Thua","2023-11-22","0.628","0.698","10","-6.757","0","0.0348","0.146","0.0","0.109","0.341","154.061"
"Em Xinh","MONO, Onionn.","183236","ĐẸP","2023-11-30","0.76","0.881","10","-6.868","1","0.0548","0.0521","0.00134","0.645","0.533","120.047"
"Phóng Đổ Tim Em","Wren Evans, itsnk","134267","LOI CHOI: The Neo Pop Punk","2023-12-17","0.816","0.348","6","-13.128","1","0.085","0.255","0.0","0.11","0.576","135.961"
"bé ơi từ từ","Wren Evans, itsnk","200727","LOI CHOI: The Neo Pop Punk","2023-12-17","0.782","0.383","9","-12.702","0","0.0616","0.0522","0.000124","0.095","0.236","109.971"
"Simp Gái 808","Low G","161948","Simp Gái 808","2023-10-18","0.778","0.514","8","-12.45","0","0.197","0.355","0.000535","0.323","0.224","94.994"
"shhhhhhh..","WEAN, tlinh","230675","shhhhhhh..","2023-10-07","0.739","0.537","2","-7.241","0","0.0394","0.251","0.0","0.0998","0.379","137.97"
"Bạn Đời","Karik, GDucky","300718","Bạn Đời","2023-10-04","0.843","0.484","5","-8.246","1","0.053","0.706","0.0","0.098","0.356","129.987"
"Dân Chơi Sao Phải Khóc","Andree Right Hand, RHYDER, WOKEUP","210944","Dân Chơi Sao Phải Khóc","2024-01-05","0.68","0.612","1","-7.297","0","0.091","0.233","0.0","0.118","0.271","95.017"
"Chìm Sâu","RPT MCK, Trung Trần","156303","99%","2023-03-02","0.598","0.489","11","-8.884","0","0.0486","0.587","0.0","0.119","0.502","204.179"
"Rồi Em Sẽ Gặp Một Chàng Trai Khác (feat. HippoHappy)","The Masked Singer, HippoHappy","303968","(Tập 14) Ca Sĩ Mặt Nạ Mùa 2 [The Masked Singer Vietnam]","2023-11-12","0.636","0.402","10","-7.858","1","0.0386","0.813","0.0","0.115","0.293","127.95"
"Đánh Đổi (ft. RPT MCK)","Obito, RPT MCK, Shiki","226993","Đánh Đổi","2023-10-10","0.645","0.566","2","-12.294","1","0.14","0.237","4.73e-06","0.418","0.556","76.876"
"nếu lúc đó","tlinh, 2pillz","263752","ái","2023-08-16","0.632","0.577","4","-8.482","1","0.0319","0.333","0.000163","0.16","0.359","140.035"
"Anh Là Ngoại Lệ Của Em","Phương Ly","188108","Anh Là Ngoại Lệ Của Em","2023-10-05","0.844","0.677","6","-5.958","1","0.0564","0.171","2.34e-05","0.387","0.791","111.006"
"Anh Đã Ổn Hơn","RPT MCK","194005","99%","2023-03-02","0.703","0.28","3","-9.56","1","0.0293","0.726","0.000282","0.118","0.338","141.892"
"Hà Nội (ft. VSTRA)","Obito, VSTRA, Shiki","165555","Đánh Đổi","2023-10-10","0.768","0.368","11","-13.274","0","0.047","0.329","0.105","0.284","0.365","107.998"
"Slow Dancing","V","187026","Layover","2023-09-08","0.579","0.63","8","-7.758","1","0.058","0.257","0.00462","0.0986","0.552","155.96"
"Hư không","Kha","354782","tình","2023-12-14","0.695","0.44","6","-8.482","1","0.0332","0.678","0.00137","0.103","0.225","115.009"
"Don't Côi","RPT Orijinn, Ronboogz","148880","Don't Côi","2022-11-20","0.808","0.41","2","-10.981","0","0.105","0.816","0.0","0.102","0.361","110.079"
"Cầu Vĩnh Tuy","Wren Evans, itsnk","151782","LOI CHOI: The Neo Pop Punk","2023-12-17","0.761","0.677","0","-10.209","1","0.0379","0.0637","0.00629","0.135","0.908","137.975"
"Sau Cơn Mưa","CoolKid, RHYDER","154756","Sau Cơn Mưa","2023-07-28","0.69","0.3","6","-9.204","1","0.039","0.769","1.69e-06","0.123","0.646","81.983"
"Call Me","Wren Evans, itsnk","214736","LOI CHOI: The Neo Pop Punk","2023-12-17","0.808","0.541","9","-11.864","0","0.0654","0.0992","0.00351","0.0939","0.38","114.007"
"vaicaunoicokhiennguoithaydoi","GREY D, tlinh","225862","vaicaunoicokhiennguoithaydoi","2022-06-20","0.56","0.42","7","-10.729","1","0.257","0.882","0.000605","0.11","0.585","173.695"
"Lệ Lưu Ly","Vũ Phụng Tiên, DT Tập Rap, Drum7","200842","Lệ Lưu Ly","2023-09-20","0.771","0.438","3","-10.909","0","0.0745","0.794","0.0454","0.112","0.622","94.997"
"Exit Sign","HIEUTHUHAI, marzuz","201589","Ai Cũng Phải Bắt Đầu Từ Đâu Đó","2023-10-16","0.626","0.597","2","-7.55","1","0.33","0.844","2.39e-05","0.149","0.182","79.406"
"id 072019","W/N","271704","id 072019","2023-07-31","0.593","0.325","6","-11.214","1","0.0296","0.957","0.219","0.286","0.442","110.068"
"An Thần","Low G, Thắng","174286","An Thần","2021-10-21","0.758","0.773","6","-7.266","0","0.214","0.631","2.1e-06","0.114","0.907","169.996"
"Miên Man","Minh Huy","197998","Miên Man","2022-06-24","0.772","0.519","9","-10.351","1","0.0409","0.639","0.00203","0.101","0.628","120.038"
"Không Thể Say","HIEUTHUHAI","228413","Ai Cũng Phải Bắt Đầu Từ Đâu Đó","2023-10-16","0.67","0.632","7","-5.264","1","0.042","0.25","0.0","0.211","0.639","145.027"
"Vì Anh Đâu Có Biết","Madihu, Vũ.","241919","Vì Anh Đâu Có Biết","2022-08-04","0.775","0.358","9","-6.473","0","0.0527","0.861","0.0","0.415","0.524","139.982"
"Chỉ Một Đêm Nữa Thôi","RPT MCK, tlinh","141760","99%","2023-03-02","0.669","0.773","10","-8.182","1","0.108","0.13","4.01e-05","0.0838","0.358","170.085"
"Chuyện Đôi Ta (feat. Muộii)","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","208048","Chuyện Đôi Ta (feat. Muộii)","2021-12-01","0.517","0.467","0","-7.222","1","0.0442","0.724","0.0","0.0908","0.453","199.815"
"NOLOVENOLIFE","HIEUTHUHAI","170898","Ai Cũng Phải Bắt Đầu Từ Đâu Đó","2023-10-16","0.812","0.704","4","-4.499","1","0.148","0.352","0.0","0.104","0.554","138.013"
"nhắn nhủ","Ronboogz","241190","nhắn nhủ","2023-12-12","0.762","0.295","7","-9.745","1","0.035","0.954","0.00157","0.164","0.284","129.962"
"TETVOVEN","Wxrdie, Andree Right Hand, Machiot","197230","TETVOVEN","2023-12-03","0.901","0.756","8","-6.714","1","0.238","0.369","1.99e-06","0.339","0.963","140.119"
"3D (feat. Jack Harlow)","Jung Kook, Jack Harlow","201812","3D : The Remixes","2023-10-02","0.853","0.824","1","-3.287","1","0.103","0.0322","0.0","0.0859","0.888","108.044"
"Hit Me Up (feat. Nomovodka)","Binz, Nomovodka","268200","Hit Me Up (feat. Nomovodka)","2023-10-19","0.775","0.44","9","-9.05","0","0.0355","0.493","0.000222","0.0591","0.451","99.993"
"ĐỢI (Prod. RIO)","52Hz","197000","ĐỢI (Prod. RIO)","2023-12-15","0.505","0.499","2","-9.134","1","0.0309","0.425","0.0852","0.0574","0.237","77.767"
"Tình cờ yêu em","Kuun Đức Nam, Linh Thộn","258471","Tình cờ yêu em","2023-06-10","0.75","0.349","0","-9.389","1","0.051","0.305","0.0","0.295","0.481","82.002"
"đưa em về nhàa","GREY D, Chillies","240000","đưa em về nhàa","2023-04-24","0.664","0.531","3","-10.227","1","0.0391","0.674","1.54e-05","0.353","0.644","90.96"
"Có Em","Madihu, Low G","218512","Có em","2022-04-22","0.79","0.423","9","-7.965","0","0.0533","0.87","0.0","0.149","0.726","133.961"
"Hey Lil Mama","Eladio Carrion, Rauw Alejandro","216338","Sol María","2024-01-19","0.458","0.52","1","-6.902","0","0.175","0.58","5.98e-05","0.248","0.38","141.636"
"AMARGURA","KAROL G","170480","MAÑANA SERÁ BONITO","2023-02-24","0.92","0.696","6","-3.356","0","0.0742","0.183","0.0","0.149","0.545","106.966"
"CLASSY 101","Feid, Young Miko","195586","FERXXOCALIPSIS","2023-12-01","0.858","0.665","11","-4.772","1","0.152","0.126","0.0","0.119","0.659","100.09"
"TQMQA","Eladio Carrion","169911","Sol María","2024-01-19","0.613","0.552","5","-7.71","1","0.207","0.631","0.0","0.119","0.588","112.678"
"Columbia","Quevedo","186000","Columbia","2023-07-07","0.668","0.712","5","-5.927","1","0.0381","0.369","2.13e-05","0.108","0.264","100.02"
"RKO","Eladio Carrion","106666","Sol María","2024-01-19","0.688","0.64","9","-5.972","0","0.0585","0.389","0.0","0.119","0.617","143.93"
"No Te Quieren Conmigo","Gaby Music, Lunay, Luar La L","252040","No Te Quieren Conmigo","2023-12-15","0.76","0.646","6","-5.009","1","0.068","0.361","0.000109","0.254","0.576","97.917"
"CARACAS EN EL 2000","ELENA ROSE, Danny Ocean, Jerry Di","227784","CARACAS EN EL 2000","2023-10-26","0.85","0.71","2","-6.834","1","0.0455","0.563","0.0","0.0944","0.782","117.99"
"Sigo Enamorau'","Eladio Carrion, Yandel","194941","Sol María","2024-01-19","0.737","0.653","2","-5.773","1","0.15","0.168","0.0","0.304","0.721","89.051"
"La Canción Feliz Del Disco","Eladio Carrion, Milo j","173524","Sol María","2024-01-19","0.782","0.664","4","-3.545","1","0.0598","0.202","0.0","0.218","0.892","139.992"
"Tu Ritmo","Eladio Carrion","158446","Sol María","2024-01-19","0.797","0.642","6","-6.44","1","0.259","0.103","0.0","0.0784","0.804","103.032"
"DILUVIO","Rauw Alejandro","197052","PLAYA SATURNO","2023-07-07","0.845","0.795","9","-3.502","0","0.0681","0.343","1.78e-05","0.224","0.681","94.969"
"Bendecido","Eladio Carrion","142736","Sol María","2024-01-19","0.633","0.635","11","-7.232","0","0.0745","0.319","0.0","0.132","0.338","94.863"
"Feliz Cumpleaños Ferxxo","Feid","155960","FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM","2022-09-14","0.865","0.573","5","-5.501","1","0.0678","0.0863","0.0","0.305","0.563","94.999"
"MONACO","Bad Bunny","267194","nadie sabe lo que va a pasar mañana","2023-10-13","0.787","0.621","4","-5.009","0","0.068","0.15","0.000402","0.58","0.13","139.056"
